Internet Service,Internet Service_Telco_customer_churn_services,Online Security,Online Security_Telco_customer_churn_services,Online Backup,Online Backup_Telco_customer_churn_services,Streaming TV,Streaming TV_Telco_customer_churn_services,Streaming Movies,Streaming Movies_Telco_customer_churn_services,Contract,Contract_Telco_customer_churn_services,Payment Method,Payment Method_Telco_customer_churn_services,Total Charges,Total Charges_Telco_customer_churn_services,Churn Reason,Churn Reason_Telco_customer_churn_status
DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,108.15,108.15,Competitor made better offer,Competitor made better offer
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,151.65,151.65,Moved,Moved
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,820.5,820.5,Moved,Moved
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,3046.05,3046.05,Moved,Moved
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,5036.3,5036.3,Competitor had better devices,Competitor had better devices
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,528.35,528.35,Competitor offered higher download speeds,Competitor made better offer
DSL,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,39.65,39.65,Competitor offered more data,Competitor offered more data
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,20.15,20.15,Competitor made better offer,Competitor made better offer
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,4749.15,4749.15,Competitor had better devices,Competitor had better devices
DSL,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,30.2,30.2,Competitor had better devices,Competitor had better devices
DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Mailed check,Credit Card,1093.1,1093.1,Competitor offered higher download speeds,Competitor offered higher download speeds
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,316.9,316.9,Competitor offered higher download speeds,Competitor had better devices
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,3549.25,3549.25,Competitor offered higher download speeds,Competitor offered higher download speeds
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,1105.4,1105.4,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,144.15,144.15,Competitor offered more data,Competitor had better devices
Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,1426.4,1426.4,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,633.3,633.3,Competitor made better offer,Competitor made better offer
